Player,Team,Assists,Matches Played,Coefficient
Lamine Yamal,FC Barcelona,13,35,0.37
Álex Baena,Villarreal,10,32,0.31
I. Williams,Athletic,9,35,0.26
Raphinha,FC Barcelona,9,36,0.25
Isco,Real Betis,8,22,0.36
Vinícius,Real Madrid,8,30,0.27
J. Bellingham,Real Madrid,8,31,0.26
Yéremy Pino,Villarreal,7,34,0.21
Sergi Cardona,Villarreal,7,35,0.2
Álex Berenguer,Athletic,7,36,0.19
Dani Rodríguez,Mallorca,7,37,0.19
A. Griezmann,Atlético de Madrid,7,38,0.18
Dani Raba,Leganés,6,29,0.21
Oliver Mcburnie,UD Las Palmas,6,34,0.18
Giuliano,Atlético de Madrid,6,33,0.18
C. Uche,Getafe,6,33,0.18
Nicolas Pépé,Villarreal,6,28,0.21
Ferran Torres,FC Barcelona,6,27,0.22
Bryan Zaragoza,Osasuna,6,27,0.22
Saúl,Sevilla,6,24,0.25
Álex Balde,FC Barcelona,4,32,0.13
A. Budimir,Osasuna,4,38,0.11
F. Valverde,Real Madrid,4,36,0.11
Thierno Barry,Villarreal,4,35,0.11
Isi Palazón,Rayo Vallecano,4,35,0.11
Javi Puado,Espanyol,4,35,0.11
Juan Cruz,Leganés,4,34,0.12
André Almeida,Valencia,4,34,0.12
Luis Milla,Getafe,4,33,0.12
M. Llorente,Atlético de Madrid,4,33,0.12
Aimar Oroz,Osasuna,4,37,0.11
Juanlu Sánchez,Sevilla,4,32,0.13
Álvaro Tejero,Espanyol,4,28,0.14
S. Lino,Atlético de Madrid,4,31,0.13
O. De Marcos,Athletic,4,26,0.15
Pablo Durán,Celta,4,27,0.15
I. Ruiz De Galarreta,Athletic,4,26,0.15
Arda Güler,Real Madrid,4,28,0.14
Íñigo Martínez,FC Barcelona,4,28,0.14
Óscar Rodríguez,Leganés,4,29,0.14
Pablo Barrios,Atlético de Madrid,4,31,0.13
A. Catena,Osasuna,3,35,0.09
M. De La Fuente,Leganés,3,34,0.09
K. Mbappé,Real Madrid,3,34,0.09
Pau Cubarsí,FC Barcelona,3,35,0.09
L. Agoumé,Sevilla,3,35,0.09
Javi Muñoz,UD Las Palmas,3,35,0.09
M. Oyarzabal,Real Sociedad,3,35,0.09
Andrei Rațiu,Rayo Vallecano,3,35,0.09
Jesús Areso,Osasuna,3,36,0.08
Dani Parejo,Villarreal,3,36,0.08
Javi Guerra,Valencia,3,36,0.08
Jorge De Frutos,Rayo Vallecano,3,36,0.08
Jules Koundé,FC Barcelona,3,32,0.09
Borja Iglesias,Celta,3,37,0.08
Jofre,Espanyol,3,37,0.08
Florian Lejeune,Rayo Vallecano,3,37,0.08
Luis Rioja,Valencia,3,37,0.08
Diego Rico,Getafe,3,33,0.09
Nahuel Molina,Atlético de Madrid,3,30,0.1
C. Gallagher,Atlético de Madrid,3,32,0.09
Unai Gómez,Athletic,3,32,0.09
Kirian,UD Las Palmas,3,21,0.14
Marc Casadó,FC Barcelona,3,23,0.13
Fábio Silva,UD Las Palmas,3,24,0.13
Javi Galán,Atlético de Madrid,3,25,0.12
Dani Olmo,FC Barcelona,3,25,0.12
J. Campaña,UD Las Palmas,3,25,0.12
Bryan Gil,Girona FC,3,25,0.12
G. Lo Celso,Real Betis,3,25,0.12
Hugo Álvarez,Celta,3,26,0.12
Gerard Martín,FC Barcelona,3,28,0.11
Y. Herrera,Girona FC,3,29,0.1
Eric García,FC Barcelona,3,29,0.1
Aitor Ruibal,Real Betis,3,29,0.1
A. Barrenetxea,Real Sociedad,3,30,0.1
Sandro,UD Las Palmas,3,31,0.1
Héctor Bellerín,Real Betis,2,9,0.22
Assane Diao,Real Betis,2,10,0.2
