"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"ppda";"xPTS"
1;"Barcelona";38;28;4;6;102;39;88;99.47;42.98;6.48;83.47
2;"Real Madrid";38;26;6;6;78;38;84;88.1;46.07;11.11;75.26
3;"Atletico Madrid";38;22;10;6;68;30;76;72.32;38.56;13.6;70.66
4;"Athletic Club";38;19;13;6;54;29;70;59.7;42.38;11.53;62.19
5;"Villarreal";38;20;10;8;71;51;70;74.05;51.5;13.4;67.13
6;"Real Betis";38;16;12;10;57;50;60;60.79;51.73;10.4;60.16
7;"Celta Vigo";38;16;7;15;59;57;55;58.45;50.31;11.77;58.66
8;"Osasuna";38;12;16;10;48;52;52;49.43;58.51;11.45;47.47
9;"Rayo Vallecano";38;13;13;12;41;45;52;49.97;57.14;8.54;47.97
10;"Mallorca";38;13;9;16;35;44;48;44.4;53.82;12.53;48.61
11;"Valencia";38;11;13;14;44;54;46;46.91;55.79;12.77;49.41
12;"Real Sociedad";38;13;7;18;35;46;46;47.91;49.18;8.71;51.87
13;"Getafe";38;11;9;18;34;39;42;41.38;51.12;9.91;45.79
14;"Alaves";38;10;12;16;38;48;42;46.38;51.49;9.46;50
15;"Espanyol";38;11;9;18;40;51;42;38.68;59.02;15.51;39.82
16;"Sevilla";38;10;11;17;42;55;41;45.11;50.79;11.37;48.26
17;"Girona";38;11;8;19;44;60;41;46.26;56.39;10.81;47.68
18;"Leganes";38;9;13;16;39;56;40;38.56;65.35;12.22;36.12
19;"Las Palmas";38;8;8;22;40;61;32;39.06;73.84;11.53;31.14
20;"Real Valladolid";38;4;4;30;26;90;16;36.08;77.03;15.07;31.65
